Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: OneAZ,Rate: 6.250%,"Original Balance: $538,450.23","Monthly Payment: $3,315.33",Total Payments: 360,"Total Interest: $655,051.64","Total Cost: $1,193,519.05",,
,,,,,,,,
262,2047-05-01,255937.05,3315.33,1982.33,1333.01,253954.73,284495.5,582788.13
263,2047-06-01,253954.73,3315.33,1992.65,1322.68,251962.08,286488.15,584121.14
264,2047-07-01,251962.08,3315.33,2003.03,1312.3,249959.05,288491.18,585443.82
265,2047-08-01,249959.05,3315.33,2013.46,1301.87,247945.59,290504.64,586756.12
266,2047-09-01,247945.59,3315.33,2023.95,1291.38,245921.64,292528.59,588057.99
267,2047-10-01,245921.64,3315.33,2034.49,1280.84,243887.15,294563.08,589349.37
268,2047-11-01,243887.15,3315.33,2045.09,1270.25,241842.07,296608.16,590630.21
269,2047-12-01,241842.07,3315.33,2055.74,1259.59,239786.33,298663.9,591900.46
270,2048-01-01,239786.33,3315.33,2066.44,1248.89,237719.89,300730.34,593160.05
271,2048-02-01,237719.89,3315.33,2077.21,1238.12,235642.68,302807.55,594408.94
272,2048-03-01,235642.68,3315.33,2088.03,1227.31,233554.66,304895.57,595647.07
273,2048-04-01,233554.66,3315.33,2098.9,1216.43,231455.75,306994.48,596874.37
274,2048-05-01,231455.75,3315.33,2109.83,1205.5,229345.92,309104.31,598090.8
275,2048-06-01,229345.92,3315.33,2120.82,1194.51,227225.1,311225.13,599296.3
276,2048-07-01,227225.1,3315.33,2131.87,1183.46,225093.24,313356.99,600490.81
277,2048-08-01,225093.24,3315.33,2142.97,1172.36,222950.27,315499.96,601674.27
278,2048-09-01,222950.27,3315.33,2154.13,1161.2,220796.13,317654.1,602846.63
279,2048-10-01,220796.13,3315.33,2165.35,1149.98,218630.78,319819.45,604007.83
280,2048-11-01,218630.78,3315.33,2176.63,1138.7,216454.15,321996.08,605157.81
281,2048-12-01,216454.15,3315.33,2187.97,1127.37,214266.19,324184.04,606296.52
282,2049-01-01,214266.19,3315.33,2199.36,1115.97,212066.83,326383.4,607423.88
283,2049-02-01,212066.83,3315.33,2210.82,1104.51,209856.01,328594.22,608539.85
284,2049-03-01,209856.01,3315.33,2222.33,1093.0,207633.68,330816.55,609644.37
285,2049-04-01,207633.68,3315.33,2233.91,1081.43,205399.78,333050.45,610737.37
286,2049-05-01,205399.78,3315.33,2245.54,1069.79,203154.24,335295.99,611818.79
287,2049-06-01,203154.24,3315.33,2257.24,1058.09,200897.0,337553.23,612888.58
288,2049-07-01,200897.0,3315.33,2268.99,1046.34,198628.01,339822.22,613946.68
289,2049-08-01,198628.01,3315.33,2280.81,1034.52,196347.2,342103.03,614993.02
290,2049-09-01,196347.2,3315.33,2292.69,1022.64,194054.51,344395.72,616027.54
291,2049-10-01,194054.51,3315.33,2304.63,1010.7,191749.88,346700.35,617050.18
292,2049-11-01,191749.88,3315.33,2316.63,998.7,189433.25,349016.98,618060.88
293,2049-12-01,189433.25,3315.33,2328.7,986.63,187104.55,351345.68,619059.58
294,2050-01-01,187104.55,3315.33,2340.83,974.5,184763.72,353686.51,620046.21
295,2050-02-01,184763.72,3315.33,2353.02,962.31,182410.7,356039.53,621020.71
296,2050-03-01,182410.7,3315.33,2365.27,950.06,180045.42,358404.81,621983.02
297,2050-04-01,180045.42,3315.33,2377.59,937.74,177667.83,360782.4,622933.08
298,2050-05-01,177667.83,3315.33,2389.98,925.35,175277.85,363172.38,623870.81
299,2050-06-01,175277.85,3315.33,2402.43,912.91,172875.43,365574.8,624796.17
300,2050-07-01,172875.43,3315.33,2414.94,900.39,170460.49,367989.74,625709.07
301,2050-08-01,170460.49,3315.33,2427.52,887.82,168032.97,370417.26,626609.46
302,2050-09-01,168032.97,3315.33,2440.16,875.17,165592.82,372857.41,627497.28
303,2050-10-01,165592.82,3315.33,2452.87,862.46,163139.95,375310.28,628372.45
