Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: No points,Rate: 6.375%,"Original Balance: $538,450.23","Monthly Payment: $3,359.23",Total Payments: 360,"Total Interest: $670,854.42","Total Cost: $1,209,322.41",,
,,,,,,,,
235,2045-02-01,307982.65,3359.23,1723.07,1636.16,306259.58,232190.65,555591.98
236,2045-03-01,306259.58,3359.23,1732.22,1627.0,304527.35,233922.88,557228.14
237,2045-04-01,304527.35,3359.23,1741.43,1617.8,302785.93,235664.3,558855.15
238,2045-05-01,302785.93,3359.23,1750.68,1608.55,301035.25,237414.98,560472.95
239,2045-06-01,301035.25,3359.23,1759.98,1599.25,299275.27,239174.96,562081.5
240,2045-07-01,299275.27,3359.23,1769.33,1589.9,297505.94,240944.29,563680.75
241,2045-08-01,297505.94,3359.23,1778.73,1580.5,295727.21,242723.02,565270.65
242,2045-09-01,295727.21,3359.23,1788.18,1571.05,293939.03,244511.2,566851.15
243,2045-10-01,293939.03,3359.23,1797.68,1561.55,292141.35,246308.88,568422.2
244,2045-11-01,292141.35,3359.23,1807.23,1552.0,290334.13,248116.1,569983.75
245,2045-12-01,290334.13,3359.23,1816.83,1542.4,288517.3,249932.93,571535.75
246,2046-01-01,288517.3,3359.23,1826.48,1532.75,286690.82,251759.41,573078.15
247,2046-02-01,286690.82,3359.23,1836.18,1523.04,284854.63,253595.6,574610.9
248,2046-03-01,284854.63,3359.23,1845.94,1513.29,283008.69,255441.54,576133.94
249,2046-04-01,283008.69,3359.23,1855.75,1503.48,281152.95,257297.28,577647.23
250,2046-05-01,281152.95,3359.23,1865.6,1493.63,279287.35,259162.88,579150.72
251,2046-06-01,279287.35,3359.23,1875.51,1483.71,277411.83,261038.4,580644.34
252,2046-07-01,277411.83,3359.23,1885.48,1473.75,275526.35,262923.88,582128.06
253,2046-08-01,275526.35,3359.23,1895.5,1463.73,273630.86,264819.37,583601.81
254,2046-09-01,273630.86,3359.23,1905.56,1453.66,271725.29,266724.94,585065.54
255,2046-10-01,271725.29,3359.23,1915.69,1443.54,269809.6,268640.63,586519.2
256,2046-11-01,269809.6,3359.23,1925.87,1433.36,267883.74,270566.49,587962.74
257,2046-12-01,267883.74,3359.23,1936.1,1423.13,265947.64,272502.59,589396.11
258,2047-01-01,265947.64,3359.23,1946.38,1412.85,264001.26,274448.97,590819.24
259,2047-02-01,264001.26,3359.23,1956.72,1402.51,262044.54,276405.69,592232.09
260,2047-03-01,262044.54,3359.23,1967.12,1392.11,260077.42,278372.81,593634.59
261,2047-04-01,260077.42,3359.23,1977.57,1381.66,258099.85,280350.38,595026.71
262,2047-05-01,258099.85,3359.23,1988.07,1371.16,256111.78,282338.45,596408.37
263,2047-06-01,256111.78,3359.23,1998.64,1360.59,254113.14,284337.09,597779.52
264,2047-07-01,254113.14,3359.23,2009.25,1349.98,252103.89,286346.34,599140.12
265,2047-08-01,252103.89,3359.23,2019.93,1339.3,250083.96,288366.27,600490.09
266,2047-09-01,250083.96,3359.23,2030.66,1328.57,248053.31,290396.92,601829.39
267,2047-10-01,248053.31,3359.23,2041.45,1317.78,246011.86,292438.37,603157.97
268,2047-11-01,246011.86,3359.23,2052.29,1306.94,243959.57,294490.66,604475.75
269,2047-12-01,243959.57,3359.23,2063.19,1296.04,241896.38,296553.85,605782.69
270,2048-01-01,241896.38,3359.23,2074.15,1285.07,239822.22,298628.01,607078.72
271,2048-02-01,239822.22,3359.23,2085.17,1274.06,237737.05,300713.18,608363.8
272,2048-03-01,237737.05,3359.23,2096.25,1262.98,235640.8,302809.43,609637.85
273,2048-04-01,235640.8,3359.23,2107.39,1251.84,233533.41,304916.82,610900.83
274,2048-05-01,233533.41,3359.23,2118.58,1240.65,231414.83,307035.4,612152.67
275,2048-06-01,231414.83,3359.23,2129.84,1229.39,229284.99,309165.24,613393.32
276,2048-07-01,229284.99,3359.23,2141.15,1218.08,227143.84,311306.39,614622.71
277,2048-08-01,227143.84,3359.23,2152.53,1206.7,224991.31,313458.92,615840.79
278,2048-09-01,224991.31,3359.23,2163.96,1195.27,222827.35,315622.88,617047.49
279,2048-10-01,222827.35,3359.23,2175.46,1183.77,220651.89,317798.34,618242.75
280,2048-11-01,220651.89,3359.23,2187.02,1172.21,218464.87,319985.36,619426.52
281,2048-12-01,218464.87,3359.23,2198.63,1160.59,216266.24,322183.99,620598.74
282,2049-01-01,216266.24,3359.23,2210.31,1148.91,214055.92,324394.31,621759.33
283,2049-02-01,214055.92,3359.23,2222.06,1137.17,211833.87,326616.36,622908.25
284,2049-03-01,211833.87,3359.23,2233.86,1125.37,209600.01,328850.22,624045.42
285,2049-04-01,209600.01,3359.23,2245.73,1113.5,207354.28,331095.95,625170.79
286,2049-05-01,207354.28,3359.23,2257.66,1101.57,205096.62,333353.61,626284.29
287,2049-06-01,205096.62,3359.23,2269.65,1089.58,202826.97,335623.26,627385.86
288,2049-07-01,202826.97,3359.23,2281.71,1077.52,200545.25,337904.98,628475.43
289,2049-08-01,200545.25,3359.23,2293.83,1065.4,198251.42,340198.81,629552.95
290,2049-09-01,198251.42,3359.23,2306.02,1053.21,195945.4,342504.83,630618.35
291,2049-10-01,195945.4,3359.23,2318.27,1040.96,193627.13,344823.1,631671.56
292,2049-11-01,193627.13,3359.23,2330.58,1028.64,191296.55,347153.68,632712.52
293,2049-12-01,191296.55,3359.23,2342.97,1016.26,188953.58,349496.65,633741.16
294,2050-01-01,188953.58,3359.23,2355.41,1003.82,186598.17,351852.06,634757.42
295,2050-02-01,186598.17,3359.23,2367.93,991.3,184230.25,354219.98,635761.24
296,2050-03-01,184230.25,3359.23,2380.51,978.72,181849.74,356600.49,636752.54
297,2050-04-01,181849.74,3359.23,2393.15,966.08,179456.59,358993.64,637731.27
298,2050-05-01,179456.59,3359.23,2405.87,953.36,177050.72,361399.51,638697.34
299,2050-06-01,177050.72,3359.23,2418.65,940.58,174632.07,363818.16,639650.71
300,2050-07-01,174632.07,3359.23,2431.5,927.73,172200.58,366249.65,640591.29
301,2050-08-01,172200.58,3359.23,2444.41,914.82,169756.17,368694.06,641519.02
302,2050-09-01,169756.17,3359.23,2457.4,901.83,167298.77,371151.46,642433.84
303,2050-10-01,167298.77,3359.23,2470.45,888.77,164828.31,373621.92,643335.67
304,2050-11-01,164828.31,3359.23,2483.58,875.65,162344.73,376105.5,644224.44
305,2050-12-01,162344.73,3359.23,2496.77,862.46,159847.96,378602.27,645100.09
