Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: Sage,Rate: 6.179%,"Original Balance: $538,450.23","Monthly Payment: $3,290.51",Total Payments: 360,"Total Interest: $646,115.31","Total Cost: $1,184,582.40",,
,,,,,,,,
223,2044-02-01,324468.78,3290.51,1619.76,1670.74,322849.01,215601.22,516511.03
224,2044-03-01,322849.01,3290.51,1628.1,1662.4,321220.91,217229.32,518181.77
225,2044-04-01,321220.91,3290.51,1636.49,1654.02,319584.42,218865.81,519844.17
226,2044-05-01,319584.42,3290.51,1644.91,1645.59,317939.51,220510.72,521498.19
227,2044-06-01,317939.51,3290.51,1653.38,1637.12,316286.13,222164.1,523143.79
228,2044-07-01,316286.13,3290.51,1661.9,1628.61,314624.23,223826.0,524780.91
229,2044-08-01,314624.23,3290.51,1670.45,1620.05,312953.78,225496.45,526409.52
230,2044-09-01,312953.78,3290.51,1679.06,1611.45,311274.72,227175.51,528029.57
231,2044-10-01,311274.72,3290.51,1687.7,1602.81,309587.02,228863.21,529641.02
232,2044-11-01,309587.02,3290.51,1696.39,1594.12,307890.63,230559.6,531243.83
233,2044-12-01,307890.63,3290.51,1705.13,1585.38,306185.5,232264.73,532837.94
234,2045-01-01,306185.5,3290.51,1713.91,1576.6,304471.59,233978.64,534423.32
235,2045-02-01,304471.59,3290.51,1722.73,1567.77,302748.86,235701.37,535999.92
236,2045-03-01,302748.86,3290.51,1731.6,1558.9,301017.26,237432.97,537567.7
237,2045-04-01,301017.26,3290.51,1740.52,1549.99,299276.74,239173.49,539126.6
238,2045-05-01,299276.74,3290.51,1749.48,1541.03,297527.26,240922.97,540676.59
239,2045-06-01,297527.26,3290.51,1758.49,1532.02,295768.77,242681.46,542217.62
240,2045-07-01,295768.77,3290.51,1767.54,1522.96,294001.23,244449.0,543749.64
241,2045-08-01,294001.23,3290.51,1776.65,1513.86,292224.58,246225.65,545272.6
242,2045-09-01,292224.58,3290.51,1785.79,1504.71,290438.79,248011.44,546786.46
243,2045-10-01,290438.79,3290.51,1794.99,1495.52,288643.8,249806.43,548291.17
244,2045-11-01,288643.8,3290.51,1804.23,1486.28,286839.57,251610.66,549786.69
245,2045-12-01,286839.57,3290.51,1813.52,1476.98,285026.05,253424.18,551272.96
246,2046-01-01,285026.05,3290.51,1822.86,1467.65,283203.19,255247.04,552749.95
247,2046-02-01,283203.19,3290.51,1832.25,1458.26,281370.94,257079.29,554217.6
248,2046-03-01,281370.94,3290.51,1841.68,1448.83,279529.26,258920.97,555675.86
249,2046-04-01,279529.26,3290.51,1851.16,1439.34,277678.09,260772.14,557124.68
250,2046-05-01,277678.09,3290.51,1860.7,1429.81,275817.4,262632.83,558564.03
251,2046-06-01,275817.4,3290.51,1870.28,1420.23,273947.12,264503.11,559993.84
252,2046-07-01,273947.12,3290.51,1879.91,1410.6,272067.21,266383.02,561414.07
253,2046-08-01,272067.21,3290.51,1889.59,1400.92,270177.63,268272.6,562824.67
254,2046-09-01,270177.63,3290.51,1899.32,1391.19,268278.31,270171.92,564225.58
255,2046-10-01,268278.31,3290.51,1909.1,1381.41,266369.21,272081.02,565616.77
256,2046-11-01,266369.21,3290.51,1918.93,1371.58,264450.29,273999.94,566998.18
257,2046-12-01,264450.29,3290.51,1928.81,1361.7,262521.48,275928.75,568369.76
258,2047-01-01,262521.48,3290.51,1938.74,1351.77,260582.74,277867.49,569731.46
259,2047-02-01,260582.74,3290.51,1948.72,1341.78,258634.02,279816.21,571083.23
260,2047-03-01,258634.02,3290.51,1958.76,1331.75,256675.26,281774.97,572425.01
261,2047-04-01,256675.26,3290.51,1968.84,1321.66,254706.42,283743.81,573756.76
262,2047-05-01,254706.42,3290.51,1978.98,1311.53,252727.43,285722.8,575078.43
263,2047-06-01,252727.43,3290.51,1989.17,1301.34,250738.26,287711.97,576389.95
264,2047-07-01,250738.26,3290.51,1999.41,1291.09,248738.85,289711.38,577691.29
265,2047-08-01,248738.85,3290.51,2009.71,1280.8,246729.14,291721.09,578982.38
266,2047-09-01,246729.14,3290.51,2020.06,1270.45,244709.08,293741.15,580263.18
267,2047-10-01,244709.08,3290.51,2030.46,1260.05,242678.63,295771.6,581533.63
268,2047-11-01,242678.63,3290.51,2040.91,1249.59,240637.71,297812.52,582793.68
269,2047-12-01,240637.71,3290.51,2051.42,1239.08,238586.29,299863.94,584043.27
270,2048-01-01,238586.29,3290.51,2061.99,1228.52,236524.3,301925.93,585282.35
271,2048-02-01,236524.3,3290.51,2072.6,1217.9,234451.7,303998.53,586510.87
272,2048-03-01,234451.7,3290.51,2083.28,1207.23,232368.42,306081.81,587728.78
273,2048-04-01,232368.42,3290.51,2094.0,1196.5,230274.42,308175.81,588936.01
274,2048-05-01,230274.42,3290.51,2104.79,1185.72,228169.63,310280.6,590132.51
275,2048-06-01,228169.63,3290.51,2115.62,1174.88,226054.01,312396.22,591318.23
276,2048-07-01,226054.01,3290.51,2126.52,1163.99,223927.49,314522.74,592493.12
277,2048-08-01,223927.49,3290.51,2137.47,1153.04,221790.03,316660.2,593657.11
278,2048-09-01,221790.03,3290.51,2148.47,1142.03,219641.56,318808.67,594810.15
279,2048-10-01,219641.56,3290.51,2159.54,1130.97,217482.02,320968.21,595952.18
280,2048-11-01,217482.02,3290.51,2170.66,1119.85,215311.36,323138.87,597083.15
281,2048-12-01,215311.36,3290.51,2181.83,1108.67,213129.53,325320.7,598203.0
282,2049-01-01,213129.53,3290.51,2193.07,1097.44,210936.46,327513.77,599311.68
283,2049-02-01,210936.46,3290.51,2204.36,1086.15,208732.1,329718.13,600409.11
284,2049-03-01,208732.1,3290.51,2215.71,1074.8,206516.39,331933.84,601495.26
285,2049-04-01,206516.39,3290.51,2227.12,1063.39,204289.27,334160.96,602570.06
286,2049-05-01,204289.27,3290.51,2238.59,1051.92,202050.69,336399.54,603633.45
287,2049-06-01,202050.69,3290.51,2250.11,1040.39,199800.57,338649.66,604685.37
288,2049-07-01,199800.57,3290.51,2261.7,1028.81,197538.87,340911.36,605725.76
289,2049-08-01,197538.87,3290.51,2273.35,1017.16,195265.53,343184.7,606754.56
290,2049-09-01,195265.53,3290.51,2285.05,1005.45,192980.48,345469.75,607771.72
291,2049-10-01,192980.48,3290.51,2296.82,993.69,190683.66,347766.57,608777.18
292,2049-11-01,190683.66,3290.51,2308.64,981.86,188375.01,350075.22,609770.87
293,2049-12-01,188375.01,3290.51,2320.53,969.97,186054.48,352395.75,610752.73
294,2050-01-01,186054.48,3290.51,2332.48,958.03,183722.0,354728.23,611722.7
295,2050-02-01,183722.0,3290.51,2344.49,946.02,181377.51,357072.72,612680.73
296,2050-03-01,181377.51,3290.51,2356.56,933.94,179020.94,359429.29,613626.75
297,2050-04-01,179020.94,3290.51,2368.7,921.81,176652.25,361797.98,614560.69
298,2050-05-01,176652.25,3290.51,2380.89,909.61,174271.35,364178.88,615482.5
299,2050-06-01,174271.35,3290.51,2393.15,897.35,171878.2,366572.03,616392.11
300,2050-07-01,171878.2,3290.51,2405.48,885.03,169472.72,368977.51,617289.46
301,2050-08-01,169472.72,3290.51,2417.86,872.64,167054.86,371395.37,618174.49
302,2050-09-01,167054.86,3290.51,2430.31,860.19,164624.54,373825.69,619047.13
303,2050-10-01,164624.54,3290.51,2442.83,847.68,162181.72,376268.51,619907.33
304,2050-11-01,162181.72,3290.51,2455.41,835.1,159726.31,378723.92,620755.01
305,2050-12-01,159726.31,3290.51,2468.05,822.46,157258.26,381191.97,621590.11
